datetime,open,high,low,close
2024-12-10,2659.96997,2695.61011,2656.82007,2691.97998
2024-12-11,2692.01001,2721.13989,2675.55005,2718.11011
2024-12-12,2718.12012,2726.30005,2675.22998,2683.070068
2024-12-13,2683.070068,2692.76001,2652.31006,2653.070068
2024-12-14,2653.030029,2653.56006,2646.23999,2648.51001
2024-12-16,2649.1499,2664.47998,2643.6499,2653.36011
2024-12-17,2653.3501,2658.76001,2633.22998,2645.40991
2024-12-18,2645.44995,2651.80005,2604.28003,2604.28003
2024-12-19,2604.63989,2626.44995,2583.55005,2596.8501
2024-12-20,2596.98999,2631.77002,2589.80005,2627.94995
2024-12-21,2627.93994,2628.13989,2619.3999,2623.29004
2024-12-23,2622.87988,2633.30005,2608.18994,2611.27002
2024-12-24,2611.37988,2621.46997,2609.22998,2617.27002
2024-12-26,2616.29004,2639.12012,2615.22998,2635.060059
2024-12-27,2634.94995,2638.36011,2611.81006,2620.72998
2024-12-28,2620.68994,2622.28003,2612.82007,2621.8999
2024-12-30,2621.61011,2628.11011,2596.19995,2607.17993
2024-12-31,2607.15991,2627.57007,2602.69995,2623.84009
2025-01-01,2623.66992,2625.030029,2622.15991,2624.56006
2025-01-02,2625.1499,2660.44995,2621.78003,2654.78003
2025-01-03,2654.93994,2665.34009,2639.17993,2639.68994
2025-01-04,2639.42993,2640.8501,2636.83008,2639.48999
2025-01-06,2639.91992,2649.46997,2614.88989,2634.47998
2025-01-07,2634.46997,2664.26001,2633.070068,2649.44995
2025-01-08,2649.43994,2669.95996,2645.3501,2658.3501
2025-01-09,2658.36011,2678.15991,2655.72998,2670.22998
2025-01-10,2670.3501,2697.8999,2664.13989,2685.93994
2025-01-11,2685.94995,2693.47998,2684.71997,2690.15991
2025-01-13,2689.93994,2693.32007,2656.90991,2658.97998
2025-01-14,2658.97998,2676.3501,2658.8501,2674.37988
2025-01-15,2674.34009,2696.060059,2669.42993,2693.93994
2025-01-16,2694.1001,2724.77002,2690.1001,2715.37988
2025-01-17,2715.40991,2717.44995,2702.88989,2703.27002
2025-01-18,2703.21997,2704.27002,2699.40991,2702.86011
2025-01-20,2703.15991,2713.98999,2689.44995,2708.31006
2025-01-21,2707.44995,2745.96997,2702.87012,2742.95996
2025-01-22,2742.80005,2763.37988,2740.15991,2755.42993
2025-01-23,2755.44995,2758.83008,2735.96997,2754.19995
2025-01-24,2754.12012,2786.050049,2751.47998,2774.68994
2025-01-25,2774.67993,2774.8501,2770.66992,2771.25
2025-01-27,2765.66992,2772.61011,2730.59009,2739.37988
2025-01-28,2739.43994,2765.02002,2734.8999,2764.87012
2025-01-29,2764.8501,2766.30005,2744.90991,2755.32007
2025-01-30,2755.20996,2798.47998,2752.75,2793.54004
2025-01-31,2793.3999,2817.12012,2789.55005,2796.33008
2025-02-01,2796.070068,2802.58008,2794.37012,2798.52002
2025-02-03,2802.30005,2830.6001,2772.37988,2818.37012
2025-02-04,2818.29004,2845.51001,2807.37012,2843.1001
2025-02-05,2843.1499,2882.3501,2839.87012,2863.66992
2025-02-06,2863.65991,2873.27002,2834.3501,2854.050049
2025-02-07,2854.0,2886.81006,2852.70996,2860.29004
2025-02-08,2860.12988,2863.88989,2859.47998,2860.87012
2025-02-10,2861.3999,2911.43994,2860.44995,2904.41992
2025-02-11,2904.44995,2942.68994,2881.8999,2900.29004
2025-02-12,2900.26001,2909.12988,2864.22998,2897.92993
2025-02-13,2897.95996,2927.47998,2895.62012,2926.96997
2025-02-14,2926.92993,2940.1001,2878.94995,2880.76001
2025-02-15,2880.67993,2886.25,2877.1499,2882.54004
2025-02-17,2893.67993,2906.41992,2878.90991,2898.3999
2025-02-18,2899.33008,2936.95996,2892.12988,2935.8501
2025-02-19,2935.8501,2947.050049,2918.8501,2931.84009
2025-02-20,2931.77002,2954.88989,2924.3999,2937.97998
2025-02-21,2938.02002,2949.87012,2916.87012,2933.52002
2025-02-22,2933.31006,2938.3501,2932.16992,2936.080078
2025-02-24,2939.67993,2956.26001,2921.5,2949.37988
2025-02-25,2949.21997,2953.69995,2888.6499,2912.18994
2025-02-26,2912.15991,2930.25,2890.8999,2913.97998
2025-02-27,2914.0,2920.8501,2868.090088,2879.27002
2025-02-28,2879.37012,2885.22998,2832.77002,2849.79004
2025-03-01,2849.51001,2859.36011,2847.77002,2857.44995
2025-03-03,2873.30005,2893.02002,2859.02002,2881.69995
2025-03-04,2881.63989,2927.84009,2878.47998,2916.21997
2025-03-05,2915.95996,2929.8501,2894.44995,2920.62988
2025-03-06,2920.62012,2926.59009,2891.43994,2914.080078
2025-03-07,2913.8501,2930.42993,2896.83008,2905.45996
2025-03-08,2905.3501,2912.82007,2904.88989,2909.43994
2025-03-10,2912.41992,2918.28003,2880.3999,2885.37012
2025-03-11,2885.18994,2922.26001,2880.43994,2918.48999
2025-03-12,2918.36011,2940.6001,2906.22998,2931.37988
2025-03-13,2931.34009,2985.43994,2930.94995,2982.97998
2025-03-14,2983.12988,3004.94995,2978.59009,2984.02002
2025-03-15,2984.01001,2988.87988,2981.93994,2985.040039
2025-03-17,2987.8501,3001.22998,2982.33008,3000.37012
2025-03-18,3000.3999,3038.33008,2999.6001,3035.52002
2025-03-19,3035.77002,3051.98999,3022.95996,3047.87988
2025-03-20,3047.82007,3057.36011,3025.76001,3044.82007
2025-03-21,3044.81006,3047.51001,2999.47998,3019.94995
2025-03-22,3020.040039,3024.1499,3020.030029,3023.8501
2025-03-24,3023.30005,3033.38989,3002.62012,3006.18994
2025-03-25,3006.19995,3036.050049,3005.73999,3019.63989
2025-03-26,3019.65991,3032.13989,3012.44995,3017.20996
2025-03-27,3017.31006,3059.58008,3017.23999,3057.58008
2025-03-28,3057.53003,3086.80005,3054.25,3080.96997
2025-03-29,3080.8501,3086.18994,3080.8501,3085.28003
2025-03-31,3093.0,3127.87988,3076.82007,3124.55005
2025-04-01,3124.3501,3149.030029,3100.90991,3118.69995
2025-04-02,3118.67993,3135.77002,3107.8999,3124.19995
2025-04-03,3124.41992,3167.70996,3054.31006,3107.63989
2025-04-04,3107.71997,3136.28003,3016.16992,3036.47998
2025-04-05,3036.31006,3041.070068,3033.8999,3038.17993
